Name                                                                                                                                            Stmts   Miss  Cover
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
anylist/__init__                                                                                                                                    0      0   100%
anylist/settings                                                                                                                                   26      0   100%
anylist/urls                                                                                                                                       13      2    85%
anylist/views                                                                                                                                     333    163    51%
manage                                                                                                                                              6      0   100%
myapp/__init__                                                                                                                                      0      0   100%
myapp/admin                                                                                                                                         9      0   100%
myapp/forms                                                                                                                                        23      0   100%
myapp/migrations/0001_initial                                                                                                                      64     17    73%
myapp/migrations/0002_auto__del_field_genre_group                                                                                                  15      2    87%
myapp/migrations/0003_auto__add_field_serie_length                                                                                                 11      1    91%
myapp/migrations/0004_auto__add_raiting__add_field_product_old_limit                                                                               14      2    86%
myapp/migrations/0005_auto__chg_field_userlist_score                                                                                               11      1    91%
myapp/migrations/0006_auto__del_field_serielist_user_list__add_field_serielist_user                                                                13      2    85%
myapp/migrations/0007_auto__del_field_serielist_user__add_field_serielist_user_list                                                                13      2    85%
myapp/migrations/__init__                                                                                                                           0      0   100%
myapp/models                                                                                                                                      111     11    90%
myapp/tests                                                                                                                                       168     17    90%
myapp/views                                                                                                                                         0      0   100%
virt/lib/python3.4/site-packages/PIL/Image                                                                                                        907    738    19%
virt/lib/python3.4/site-packages/PIL/ImageFile                                                                                                    264    232    12%
virt/lib/python3.4/site-packages/PIL/ImageMode                                                                                                     20     15    25%
virt/lib/python3.4/site-packages/PIL/__init__                                                                                                       3      0   100%
virt/lib/python3.4/site-packages/PIL/_binary                                                                                                       25     14    44%
virt/lib/python3.4/site-packages/PIL/_util                                                                                                         12      7    42%
virt/lib/python3.4/site-packages/braces/__init__                                                                                                    5      0   100%
virt/lib/python3.4/site-packages/braces/views/__init__                                                                                              7      0   100%
virt/lib/python3.4/site-packages/braces/views/_access                                                                                             137     92    33%
virt/lib/python3.4/site-packages/braces/views/_ajax                                                                                                66     38    42%
virt/lib/python3.4/site-packages/braces/views/_forms                                                                                               59     27    54%
virt/lib/python3.4/site-packages/braces/views/_other                                                                                               54     36    33%
virt/lib/python3.4/site-packages/braces/views/_queries                                                                                             51     34    33%
virt/lib/python3.4/site-packages/django/__init__                                                                                                    4      0   100%
virt/lib/python3.4/site-packages/django/conf/__init__                                                                                             101     32    68%
virt/lib/python3.4/site-packages/django/conf/global_settings                                                                                      121      0   100%
virt/lib/python3.4/site-packages/django/conf/locale/__init__                                                                                        2      0   100%
virt/lib/python3.4/site-packages/django/conf/locale/en/__init__                                                                                     0      0   100%
virt/lib/python3.4/site-packages/django/conf/locale/en/formats                                                                                     14      0   100%
virt/lib/python3.4/site-packages/django/conf/urls/__init__                                                                                         42      7    83%
